solution_id,airtable_rec_id,company_id,solution_name,description,has_ai,function_category,program_type,data_source,price,price_tier,service_region,target_industry,target_scale,has_award,has_certification,website_url,score_overall,created_at,updated_at,industry_category,features_list,description_short,slogan,monthly_price,monthly_price_tier,subscription_months,pricing_model,record_status,partner_vendor
SOL-MOE-0498,recicpbbC4OziaS8c,25012019.0,虛實通路訂單自動演算匯入ERP雲端平台,系統的特色主要在快速整合不同通路平台格式，轉換成統一格式進行快速出貨，適用的公司有針對零售、客製化訂單、大 量且多樣化零件供應商等等，經營實體與電商通路之企業，快速整合客戶下單，減少人工登打訂單所花費的大量時間，能 有效減少人為錯誤，加快出貨流程，強化供應量的效率。,True,生產物流,雲市集工業館,產發署,300000.0,,[],[],[],False,False,,3.7,2026-07-21 07:34:25.020364+00,2026-07-21 07:34:25.020364+00,生產物流,"多通路訂單自動匯入與格式轉換
訂單自動演算與統一格式處理
ERP雲端平台整合
自動出貨流程管理
人工訂單登打時間減少與錯誤降低
多樣化零件與客製化訂單管理
實體與電商通路訂單整合
供應鏈效率提升與出貨加速",本系統專為經營實體與電商多通路的零售商、客製化訂單商及零件供應商設計。透過快速整合各平台訂單格式，轉換為統一標準，自動化訂單處理流程，大幅減少人工登打時間與人為錯誤。有效加快出貨速度，提升供應鏈效率，讓企業專注於業務成長。,,,,,"[""客製化服務""]",正常,
SOL-SME-0364,recGHJw8oLXB2UISJ,43909875.0,GBP ReviewSpark v2 模組,GBP ReviewSpark v2 模組 是一套專為實體商家打造的 AI 智慧評論分析與互動優化系統。第一大核心功能為競爭差異分析：透過即時擷取與解析 Google Maps 上的顧客評論，系統能自動辨識服務、價格、餐點品質、環境等關鍵面向，主動提供分析報告給您！,True,行銷推廣,SME AI平台,中企署,2000.0,,[],"[""服務業""]",[],False,False,,3.7,2026-07-21 07:34:22.02243+00,2026-07-21 07:34:22.02243+00,行銷推廣,"AI資料爬取並結構化儲存
15次/月
數據分析
30次/月",適用於實體商家的 AI 評論分析系統，透過自動擷取 Google Maps 評論，智慧辨識服務、價格、餐點品質、環境等關鍵面向，提供競爭差異分析報告。幫助商家快速掌握顧客反饋、發現市場機會，優化營運策略與服務品質。,,,,,"[""訂閱制""]",正常,
SOL-0446,recRRG8jsu6gwFY2Z,42660670.0,Avalon - 形象網站建置－品牌力強化方案,"Avalon - 形象網站建置－品牌力強化方案是由金蘋果園股份有限公司提供的專業服務，適用於各產業和不同規模的企業。這個方案旨在幫助企業建立一個具有品牌形象的網站，提升企業的網路存在感和競爭力。通過專業的網站建置服務，您可以獲得一個現代化、易於使用的網站，有效地傳達企業的品牌價值和形象，吸引更多的潛在客戶。藉此方案，您可以解決網站建置和品牌形象推廣的問題，提升企業的整體形象和市場競爭力。方案費用為 51,000 元，訂閱期 12 個月，價格透明且合理。",False,銷售管理,臺灣雲市集,自有方案,51000.0,5-20萬,"[""北北基"",""桃竹苗"",""中彰投"",""雲嘉南"",""高屏"",""宜花東"",""離島/其他""]","[""不限產業""]","[""9人以下"",""10~20人"",""21~50人"",""51~100人"",""101~200人""]",False,False,,3.3,2026-07-21 07:34:23.44502+00,2026-08-20 06:26:34.889913+00,銷售管理,"企業形象網站建置
品牌價值視覺化呈現
現代化網站介面設計
企業網路存在感提升
潛在客戶吸引與轉化","適用於各產業企業的形象網站建置方案，透過專業設計與現代化介面，有效傳達品牌價值、強化網路存在感。幫助企業解決網站建置與品牌推廣問題，吸引潛在客戶、提升市場競爭力。年費新台幣51,000元，價格透明合理。",,4250.0,3-5K,12.0,"[""訂閱制""]",疑似已下架_平台停止服務未逐筆驗證,
SOL-SME-0118,recyapSqTFAJ1iTTy,82828794.0,點了沒POS點餐自助結帳完整版,"點了沒Line智慧點餐系統，整合了Line官方帳號也整合了LinePay、信用卡等非現金支付，及外送平台foodpanda,ubereats在排隊的店家可先行點餐預購，並於餐點完成後店家於系統上通知客來取餐，減少排隊的狀況，在疫情發展下也可有效避免接觸。 整合自助點餐機，提供如同麥當勞的自助結帳功能。 整合AI菜單，快速完成菜單整理，一份菜單平均要整理60分鐘，利用Ai整合，可以將時間降低到40-30分鐘。 整合AI行銷功能，快速產生文案，於FB、GoogleMap分享引流導客，也可將文案利用我方列印功能，快速產生QRcode提供線下導客，完成O2O的行銷整合。",True,生產物流,SME AI平台,中企署,10000.0,,[],"[""服務業""]",[],False,False,,4.0,2026-07-21 07:34:26.275253+00,2026-07-21 07:34:26.275253+00,生產物流,"Line 點餐與非現金支付整合
串接外送與自助結帳降低排隊接觸
AI 菜單整理縮短作業時間
AI 行銷文案與 QR 導客 O2O 整合
AI 經營分析模組",點了沒Line智慧點餐系統專為餐飲業者設計，整合Line官方帳號、LinePay與信用卡支付、外送平台，支援線上預購與自助點餐機，有效減少排隊時間並降低接觸風險。內建AI菜單管理功能，將菜單整理時間從60分鐘縮短至30-40分鐘。搭配AI行銷工具自動生成文案，透過社群媒體、Google地圖與QR碼實現線上線下整合行銷，快速引流導客。,,,,,"[""訂閱制""]",正常,
SOL-0431,recQ2bwYsHhCeBNcT,54585825.0,O2O支付方案,"O2O支付方案是由社守有限公司提供的創新解決方案，適用於批發零售業、住宿及餐飲業的中小企業。此方案旨在整合線上線下支付流程，幫助商家輕鬆管理交易、提升營收。透過O2O支付方案，您可以實現統一的支付平台，無縫銜接實體店面與網路銷售，讓顧客享有更便捷的購物體驗。此方案有效解決傳統支付方式繁瑣、資金管理不便等問題，幫助商家節省時間、降低成本，並提升客戶滿意度。方案費用為12,000元，訂閱期為12個月，適用於規模1-2的企業，服務區域涵蓋1-5區，價格區間在5萬以下。",False,銷售管理,臺灣雲市集,自有方案,12000.0,5萬以下,"[""北北基"",""桃竹苗"",""中彰投"",""雲嘉南"",""高屏""]","[""批發零售業, 住宿及餐飲業""]","[""9人以下"",""10~20人""]",False,False,,3.6,2026-07-21 07:34:23.44502+00,2026-08-20 06:26:34.889913+00,銷售管理,"線上線下支付整合管理
統一支付平台管理
實體店面銷售交易處理
網路銷售交易處理
顧客購物體驗優化
商家資金管理
交易報表統計","針對批發零售、住宿餐飲等中小企業，O2O支付方案整合線上線下交易流程，提供統一支付平台。透過無縫銜接實體店面與網路銷售，有效簡化傳統支付繁瑣程序，優化資金管理效率。幫助商家節省營運成本、提升客戶購物體驗，並加速營收成長。年費12,000元，適用於1至2人規模企業。",,1000.0,<3K,12.0,"[""訂閱制""]",疑似已下架_平台停止服務未逐筆驗證,
SOL-BIZ-0115,recCPEvM2ort8JCyn,45900358.0,Pandora,Pandora 輿情探索與市場洞察系統是商戶探索市場動態的首選工具。,True,行銷推廣,商業服務業專區,商業署,159000.0,,[],"[""G批發及零售業；H運輸及倉儲業；I住宿及餐飲業；J出版影音及資通訊業；K金融及保險業；L不動產業；N支援服務業；O公共行政及國防；強制性社會安全；P教育業；Q醫療保健及社會工作服務業；S其他服務業""]",[],False,False,,3.5,2026-07-21 07:34:21.401635+00,2026-07-21 07:34:21.401635+00,行銷推廣,"品牌輿情監測
雙引擎混合搜尋
語境解碼技術
洞察轉化行動",針對需要掌握市場脈動的商戶，Pandora 輿情探索與市場洞察系統提供全面的輿情監測與數據分析能力。系統整合多渠道輿情資訊，幫助企業即時捕捉市場動向、競爭對手動態與消費者聲音，支援決策層快速制定策略調整，有效降低市場風險並把握商機。,,,,,"[""訂閱制""]",正常,
SOL-CASE-0001,,24965995.0,無線能源管理系統(NeVerLoSs® LoRa),"LoRa長距無線技術免拉線佈建,遠距同步收集油氣水電數據,智慧閘道器自動上雲,視覺化儀表板呈現,可用於優化生產排程、契約容量設定,並提供碳盤查佐證資料。適合傳統廠房在不停機、不施工的前提下建立能源監測基礎。",False,能源管理,案例反推補建,案例文章萃取_20260814,,,,,,False,False,,,2026-08-14 02:46:11.973758+00,2026-08-14 02:46:11.973758+00,節能減碳,,"免拉線無線能管系統,支援碳盤查佐證",,,,,,正常,
SOL-0727,recAyRY0YiveyC6He,24930722.0,創創徵件評選,創創徵件評選方案由創創數位科技股份有限公司提供，適用於出版、影音、傳播及資通服務業，以及藝術娛樂休閒產業，適用企業規模從1到5人皆可。該方案服務範圍涵蓋全臺1到7個區域，訂閱期為12個月，費用為6萬元。本方案主要協助企業進行徵件評選作業，提供公正、透明的評選機制，有效解決評選過程中的耗時與人力成本問題。藉此方案，您可以輕鬆管理徵件流程，提升評選效率，節省寶貴時間與資源。無論您是中小型企業或個人創作者，創創徵件評選方案都能為您提供專業且可靠的服務。,False,行銷推廣,臺灣雲市集,自有方案,60000.0,5-20萬,"[""北北基"",""桃竹苗"",""中彰投"",""雲嘉南"",""高屏"",""宜花東"",""離島/其他""]","[""出版、影音、傳播及資通服務業, 藝術娛樂休閒""]","[""9人以下"",""10~20人"",""21~50人"",""51~100人"",""101~200人""]",False,False,,3.6,2026-07-21 07:34:21.401635+00,2026-08-20 06:26:34.889913+00,行銷推廣,"徵件資訊發佈與管理
線上徵件報名與提交
評選標準設定與自訂
評委評分與意見記錄
評選結果統計與排名
公開透明的評選進度查詢
徵件資料雲端儲存與整理",創創徵件評選方案專為出版、影音、傳播、資通及藝術娛樂產業設計，適合1至5人企業。透過公正透明的評選機制，有效降低徵件作業的時間與人力成本。該方案涵蓋全臺1至7個區域，提供專業流程管理與評選效率提升，助中小企業與創作者輕鬆完成徵件評選工作。年費6萬元，訂閱期12個月。,,5000.0,5-10K,12.0,"[""訂閱制""]",疑似已下架_平台停止服務未逐筆驗證,
SOL-0183,recnAD9qI4pO0EG4t,53550539.0,Genie CTO,"智能化進度跟蹤與報告生成：
 結合AutoML與生成式AI，系統能夠自動跟蹤每一個研發項目的進度，並且根據歷史數據進行未來進展預測。生成式AI則負責生成動態報告，並根據實時數據提供建議，幫助研發長快速調整策略
 全面性能監控與未來預測
 透過AutoML，系統可自動測試和優化技術性能，包括算法準確率與系統運行效能。生成式AI能夠分析這些數據，提供未來性能表現的預測，並提供技術改進的具體建議，確保研發工作的高效運行。
 創新成果深度分析與商業化支持
 系統利用生成式AI深入分析技術創新成果，從專利數量到技術突破，全面評估其商業價值和競爭優勢。結合AutoML的自動數據分析，生成式AI提供精確的創新報告",True,研發創新,臺灣雲市集,自有方案,100000.0,5-20萬,"[""北北基""]","[""製造業, 批發零售業, 運輸及倉儲物流, 出版、影音、傳播及資通服務業, 教育業, 金融保險""]","[""21~50人"",""51~100人"",""101~200人""]",False,False,,4.2,2026-07-21 07:34:25.279398+00,2026-08-20 06:26:34.889913+00,研發創新,"自動跟蹤研發項目進度並預測未來進展
基於歷史數據生成動態研發報告和策略建議
自動測試和優化技術性能（算法準確率、系統效能）
分析性能數據並預測未來技術表現
提供技術改進的具體建議
深度分析創新成果的商業價值和競爭優勢
評估專利數量和技術突破的商業化潛力
生成精確的創新評估報告",針對研發管理團隊，本方案整合AutoML與生成式AI技術，自動追蹤項目進度並預測未來發展趨勢。系統實時監控技術性能、優化算法準確率，同時生成動態報告與改進建議，協助研發長快速調整策略。並深度分析創新成果的商業價值與競爭優勢，全面提升研發效率與決策品質。,,8333.0,5-10K,12.0,"[""訂閱制""]",疑似已下架_平台停止服務未逐筆驗證,
SOL-0013,recsMqkDkeTA7kxu5,83501114.0,3TEZ票券開店平台,三禘券鏈通科技股份有限公司的 3TEZ 票券開店平台，專為批發零售業、住宿及餐飲業、藝術娛樂休閒等產業設計。該平台幫助商家輕鬆建立線上票券銷售系統，提升銷售效率並擴大客戶群。通過 3TEZ 票券開店平台，您可以簡單管理票券銷售、兌換和客戶關係，無需複雜的技術知識。平台提供彈性的價格方案，滿足不同規模企業的需求，有效解決傳統票券銷售的痛點，如銷售渠道單一、客戶管理不便等。藉助 3TEZ 票券開店平台，您可以優化業務流程，提升客戶體驗，進一步推動銷售增長。,False,銷售管理,臺灣雲市集,自有方案,60000.0,5-20萬,"[""北北基"",""桃竹苗"",""中彰投"",""雲嘉南"",""高屏""]","[""批發零售業, 住宿及餐飲業, 藝術娛樂休閒""]","[""9人以下"",""10~20人"",""21~50人"",""51~100人"",""101~200人""]",False,False,,3.6,2026-07-21 07:34:25.777239+00,2026-08-20 06:26:34.889913+00,銷售管理,"線上票券銷售系統建立
票券銷售、兌換和客戶關係管理
彈性的價格方案設定
業務流程優化
客戶體驗提升
銷售效率提升
客戶群擴大
簡單易用的管理介面
無需複雜的技術知識
多渠道銷售支持
客戶管理功能
銷售數據分析
票券銷售報表生成",3TEZ 票券開店平台專為零售、餐飲、娛樂等產業設計，幫助商家快速建立線上票券銷售系統。平台提供簡易的票券管理、兌換及客戶關係功能，無需技術背景即可操作。透過多元銷售渠道和靈活價格方案，有效解決傳統票券銷售的渠道單一、客戶管理困難等問題，優化業務流程並提升客戶體驗，驅動銷售成長。,,5000.0,5-10K,12.0,"[""訂閱制""]",疑似已下架_平台停止服務未逐筆驗證,
